Run,Iteration,dim-0,dim-1,dim-2,dim-3,dim-4,dim-5
-1,-1,5.0,9.0,4.0,5.0,4.0,8.0
0,0,2.0,8.0,0.0,2.0,0.0,2.0
0,1,2.0,8.0,0.0,2.0,0.0,2.0
0,2,2.0,8.0,0.0,2.0,0.0,2.0
0,3,2.0,8.0,0.0,2.0,0.0,2.0
0,4,2.0,8.0,0.0,2.0,0.0,2.0
0,5,2.0,8.0,0.0,2.0,0.0,2.0
0,6,2.0,8.0,0.0,2.0,0.0,2.0
0,7,2.0,8.0,0.0,2.0,0.0,2.0
0,8,2.0,8.0,0.0,2.0,0.0,2.0
0,9,2.0,8.0,0.0,2.0,0.0,2.0
0,10,2.0,8.0,0.0,2.0,0.0,2.0
0,11,2.0,8.0,0.0,2.0,0.0,2.0
0,12,2.0,8.0,0.0,2.0,0.0,2.0
0,13,2.0,8.0,0.0,2.0,0.0,2.0
0,14,2.0,8.0,0.0,2.0,0.0,2.0
0,15,2.0,8.0,0.0,2.0,0.0,2.0
0,16,2.0,8.0,0.0,2.0,0.0,2.0
0,17,2.0,8.0,0.0,2.0,0.0,2.0
0,18,2.0,8.0,0.0,2.0,0.0,2.0
0,19,2.0,8.0,0.0,2.0,0.0,2.0
0,20,2.0,8.0,0.0,2.0,0.0,2.0
0,21,2.0,8.0,0.0,2.0,0.0,2.0
0,22,2.0,8.0,0.0,2.0,0.0,2.0
0,23,2.0,8.0,0.0,2.0,0.0,2.0
0,24,2.0,8.0,0.0,2.0,0.0,2.0
0,25,2.0,8.0,0.0,2.0,0.0,2.0
0,26,2.0,8.0,0.0,2.0,0.0,2.0
0,27,2.0,8.0,0.0,2.0,0.0,2.0
0,28,2.0,8.0,0.0,2.0,0.0,2.0
0,29,2.0,8.0,0.0,2.0,0.0,2.0
0,30,2.0,8.0,0.0,2.0,0.0,2.0
0,31,2.0,8.0,0.0,2.0,0.0,2.0
